# Board	Lien Discord (VALIDE)
tech	https://discord.gg/WmkkFQprkj
operate	https://discord.gg/v8GtVDpMcN
furry	https://discord.com/invite/yumera
os	https://discord.gg/obama
2cihan	https://discord.gg/wtQsyHt
bubblegum	https://discord.gg/jk4YSEqgnp
bubblegum	https://discord.gg/Fj9TqR52Ww
godscommunity	https://discord.gg/8sQbAWEJG5
blockchainkr	https://discord.com/invite/TXREkPY8C7
blockchainkr	https://discord.com/invite/GBd6buKYyZ
punasipuli	https://discord.gg/QvSECx9bTw
sweden	https://discord.com/invite/hWTFs2W2wu
glhf	https://discord.gg/YrmaAdtmnJ
